Publication_id;Category_id;Tag_id;Author_id;Date;Views
1;2;20;8;5.14.2022;7962
2;3;20;11;11.6.2021;49224
3;3;20;1;4.16.2022;32421
4;1;6;8;3.7.2023;49685
5;1;8;5;6.20.2021;35975
6;3;22;1;8.30.2023;48069
7;1;19;1;10.26.2023;7401
8;3;15;9;7.24.2022;41248
9;2;4;10;3.29.2022;39697
10;3;2;6;4.29.2021;45230
11;3;1;11;11.7.2021;34181
12;2;18;5;2.21.2023;25292
13;2;13;11;9.14.2023;15117
14;3;11;5;8.16.2022;20930
15;2;8;3;2.24.2022;23774
16;2;22;10;2.12.2023;33919
17;2;19;8;6.6.2021;41585
18;2;21;4;11.30.2022;21016
19;3;2;8;3.26.2021;17174
20;1;18;11;3.9.2022;46158
21;3;8;4;9.10.2021;27460
22;2;6;5;12.14.2023;34534
23;1;16;10;7.4.2023;28747
24;2;9;2;1.8.2023;11006
25;2;4;5;2.1.2021;32137
26;1;10;1;1.8.2023;45388
27;2;5;11;11.12.2023;32559
28;2;10;7;8.1.2022;20978
29;2;17;10;7.24.2021;40702
30;2;9;8;12.23.2023;36915
31;3;10;1;12.23.2022;48782
32;3;7;6;11.23.2021;37540
33;3;21;5;3.16.2022;25382
34;1;14;4;10.14.2022;48416
35;2;4;11;6.10.2022;29089
36;3;1;5;7.7.2021;35505
37;1;23;3;11.7.2021;33100
38;3;4;8;11.26.2023;22186
39;2;6;5;11.24.2022;40079
40;3;4;10;9.17.2021;26548
41;1;11;9;11.19.2021;46529
42;3;11;4;12.16.2021;42399
43;3;21;3;12.12.2022;41533
44;3;3;2;3.20.2022;15351
45;1;13;7;12.24.2022;41581
46;1;9;10;7.8.2021;39489
47;3;3;4;10.11.2022;14778
48;3;21;4;5.14.2023;25250
49;3;12;11;11.7.2022;12774
50;1;21;1;4.10.2021;23363
51;1;7;9;3.26.2023;31968
52;1;15;3;6.14.2021;43870
53;1;13;2;11.17.2021;31081
54;3;12;3;1.3.2023;45606
55;1;10;7;9.5.2022;22002
56;2;18;10;5.18.2023;30450
57;1;17;6;4.3.2021;24732
58;1;10;9;9.25.2021;15068
59;1;8;6;9.19.2021;11241
60;3;17;6;12.26.2021;42086
61;1;4;4;8.10.2021;14345
62;2;7;6;6.6.2021;37716
63;1;13;10;10.31.2023;17434
